ADDRESS,CITY,ZIPCODE,LOCATION,DATESOLD,MONTH,PRICE,BEDROOMS,BATHROOMS,SQFT,LOTSIZE,PRICE_PER_SQFT,HOA,HOA_MONTHLY,YEARBUILT,HOUSE_AGE,DAYS_ON_MARKET,LATITUDE,LONGITUDE
9418 Mount Vernon Cir,Alexandria,22309,MOUNT VERNON ON THE POTO,2021-08-16,August,939900,5,3.5,3317,19514,283,Yes,125.0,1977,44,136,38.7042723,-77.11683029999999
8019 Martha Washington St,Alexandria,22309,MOUNT VERNON WOODS,2021-03-17,March,505000,4,2.0,2340,11250,216,No,0.0,1952,69,288,38.7384049,-77.101164
5919 Kelley Ct,Alexandria,22312,LINCOLNIA HILLS,2021-04-12,April,774480,3,3.5,2031,16171,381,No,0.0,1956,65,262,38.8279679,-77.1343823
4853 Basha Ct,Alexandria,22310,ROSE HILL RESERVE,2021-06-09,June,1020000,5,4.5,4984,8736,205,Yes,90.0,2011,10,204,38.7766401,-77.11675509999999
7934 Bayberry Dr,Alexandria,22306,SHERWOOD HALL,2021-09-14,September,720000,4,2.0,2100,15099,343,No,0.0,1965,56,107,38.74061629999999,-77.0716689
9008 Patton Blvd,Alexandria,22309,WOODLAWN MANOR,2021-08-30,August,812000,6,3.0,1860,48569,437,No,0.0,1964,57,122,38.7135129,-77.1200892
5235 Navaho Dr,Alexandria,22312,LINCOLNIA PARK,2021-07-26,July,660000,6,3.0,2444,17129,270,No,0.0,1960,61,157,38.809412,-77.1543358
3706 Franconia Rd,Alexandria,22310,BURGUNDY FARM,2021-01-29,January,610000,5,4.0,1957,10550,312,No,0.0,1959,62,335,38.791838,-77.096585
3210 Wessynton Way,Alexandria,22309,WESSYNTON,2021-01-04,January,765000,3,3.0,1737,24563,440,Yes,74.0,1967,54,360,38.7206232,-77.08610259999999
4905 Rutland Pl,Alexandria,22304,SEMINARY VALLEY,2021-02-05,February,799900,4,4.0,3180,9822,252,No,0.0,1956,65,328,38.816345500000004,-77.1173922
6010 Bitternut Dr,Alexandria,22310,FRANCONIA FOREST,2021-04-01,April,704000,4,3.0,2100,9818,335,No,0.0,1979,42,273,38.786237799999995,-77.1538415
8900 Linton Ln,Alexandria,22308,STRATFORD LANDING,2021-08-12,August,805000,4,2.5,2244,39667,359,No,0.0,1975,46,140,38.716561299999995,-77.0667223
217 E Oxford Ave,Alexandria,22301,DEL RAY,2021-06-15,June,1625000,5,3.5,3115,4791,522,No,0.0,1930,91,198,38.8268562,-77.057121
6310 Lincolnia Rd,Alexandria,22312,PROP OF JOANNE B AND ERN,2021-11-05,November,550000,3,3.0,1630,10848,337,No,0.0,1917,104,55,38.824032,-77.1437752
8409 Fort Hunt Rd,Alexandria,22308,WAYNEWOOD,2021-05-21,May,750000,4,2.5,2109,10679,356,No,0.0,1962,59,223,38.728762700000004,-77.0570985
3619 Drews Ct,Alexandria,22309,MOUNT VEE MANOR,2021-04-28,April,870000,4,3.5,5610,7309,155,Yes,57.0,2000,21,246,38.7327749,-77.0957417
6709 Swarthmore Dr,Alexandria,22307,BUCKNELL MANOR,2021-08-13,August,515000,3,2.0,1080,7272,477,No,0.0,1950,71,139,38.7723113,-77.0666324
3412 Alabama Ave,Alexandria,22305,BEVERLY HILLS,2021-03-05,March,1125000,5,5.5,5028,8072,224,No,0.0,1949,72,300,38.837629299999996,-77.067914
3008 Russell Rd,Alexandria,22305,MONTICELLO PARK,2021-05-17,May,1350000,4,4.0,3426,9712,394,No,0.0,1940,81,227,38.8327854,-77.0675318
6045 Shaffer Dr,Alexandria,22310,VILLAGES AT HUNTINGTON,2021-04-02,April,886000,5,3.5,2824,8995,314,No,0.0,1995,26,272,38.784810799999995,-77.08287759999999
6584 Braddock Rd,Alexandria,22312,BRADDOCK ROAD PROJECT LL,2021-02-03,February,899000,5,3.5,4161,36396,216,No,0.0,2012,9,330,38.815093100000006,-77.17003670000001
2503 Terrett Ave,Alexandria,22301,ABINGDON,2021-05-03,May,1318750,4,3.0,2020,4840,653,No,0.0,1924,97,241,38.828093200000005,-77.0554345
3901 Cook St,Alexandria,22311,HIGHLAND VIEW,2021-03-30,March,1203050,5,4.5,4668,16736,258,No,0.0,2002,19,275,38.8391119,-77.1310503
6019 Grove Dr,Alexandria,22307,BELLE HAVEN,2021-02-19,February,775000,3,2.0,1680,7200,461,No,0.0,1937,84,314,38.7871827,-77.0640691
6101 Yellowstone Dr,Alexandria,22312,PARKLAWN,2021-03-26,March,590000,3,1.5,1692,10800,349,No,0.0,1955,66,279,38.834778299999996,-77.1385171
4100 Summit Pl,Alexandria,22312,PARKLAWN,2021-03-29,March,665999,5,2.5,2340,12743,285,No,0.0,1955,66,276,38.835936700000005,-77.1453032
6026 Grove Dr,Alexandria,22307,BELLE HAVEN,2021-08-03,August,1250000,5,3.5,3260,12700,383,No,0.0,1952,69,149,38.787374,-77.06469870000001
420 E Windsor Ave,Alexandria,22301,DEL RAY,2021-07-29,July,928500,2,2.0,2340,5750,397,No,0.0,1933,88,154,38.8253141,-77.05251109999999
6213 Berlee Dr,Alexandria,22312,HEYWOOD GLEN,2021-05-21,May,730000,4,2.5,1720,8475,424,No,0.0,1972,49,223,38.8300132,-77.1413709
5278 Winter View Dr,Alexandria,22312,OVERLOOK,2021-04-26,April,1100000,5,4.5,3040,5314,362,Yes,128.0,1999,22,248,38.8077872,-77.1466064
6319 Olmi Landrith Dr,Alexandria,22307,BUCKNELL BELLE HAVEN EST,2021-06-30,June,3875000,4,6.0,7803,113086,497,No,0.0,1951,70,183,38.779607299999995,-77.066568
5101 Redwing Dr,Alexandria,22312,MEYERS ADDITION INDIAN R,2021-05-07,May,925000,5,4.0,2980,28431,310,No,0.0,1968,53,237,38.813116799999996,-77.1616153
6624 Spring Valley Dr,Alexandria,22312,OAK RUN PARK,2021-01-29,January,715000,4,3.0,2715,20003,263,No,0.0,1962,59,335,38.8152763,-77.172354
6142 Stegen Dr,Alexandria,22310,FLORENCE OVERLOOK,2021-07-30,July,950000,4,3.5,3108,9147,306,Yes,28.0,1996,25,153,38.7819701,-77.0891375
2506 Crest St,Alexandria,22302,BRADDOCK HEIGHTS,2021-07-30,July,1775000,5,4.5,4052,8084,438,No,0.0,2021,0,153,38.828025,-77.08169620000001
7918 Martha Washington St,Alexandria,22309,MOUNT VERNON WOODS,2021-02-02,February,412000,3,1.0,936,15616,440,No,0.0,1952,69,331,38.740728499999996,-77.10251269999999
8007 Kidd St,Alexandria,22309,MT VERNON VALLEY,2021-04-14,April,550000,5,2.0,1124,11050,489,No,0.0,1964,57,260,38.73991229999999,-77.11141359999999
5916 Beech Tree Dr,Alexandria,22310,WILTON KNOLL,2021-05-28,May,976000,4,3.5,2352,12483,415,No,0.0,1979,42,216,38.7865861,-77.0867321
6908 Stonebridge Ct,Alexandria,22306,STONEYBROOKE,2021-03-01,March,610000,5,3.0,1245,8408,490,No,0.0,1971,50,304,38.766329299999995,-77.0997703
7006 Lamp Post Ln,Alexandria,22306,STONEYBROOKE,2021-02-12,February,662000,4,3.0,1837,8902,360,No,0.0,1971,50,321,38.765238399999994,-77.0986464
3115 Madison Hill Ct,Alexandria,22310,MADISON HILL,2021-06-22,June,927000,5,3.5,2906,8758,319,No,0.0,1977,44,191,38.788189100000004,-77.0852483
6117 Burnett St,Alexandria,22310,J EDGAR SCHURTZ,2021-07-09,July,1250000,4,4.5,4628,42263,270,No,0.0,1987,34,174,38.77525429999999,-77.14712320000001
4629 Barnum Ln,Alexandria,22312,COTTAGE FARMS,2021-04-29,April,805000,6,3.0,2600,22550,310,No,0.0,1953,68,245,38.8220491,-77.1386069
3834 Fairfax Pkwy,Alexandria,22312,BARCROFT TERRACE,2021-08-11,August,600000,5,2.5,1150,13261,522,No,0.0,1954,67,141,38.8399739,-77.1487186
6818 Stoneybrooke Ln,Alexandria,22306,STONEYBROOKE,2021-02-25,February,630000,4,3.0,2008,8970,314,No,0.0,1970,51,308,38.7685565,-77.1009842
2516 Phillips Dr,Alexandria,22306,GREGORY HEIGHTS,2021-05-28,May,600000,4,2.0,2565,10085,234,No,0.0,1957,64,216,38.776772799999996,-77.07630040000001
5702 Broadmoor St,Alexandria,22315,HAYFIELD FARM,2021-07-21,July,580000,4,2.0,1144,10143,507,No,0.0,1970,51,162,38.751187,-77.1331238
6514 Berkshire Dr,Alexandria,22310,VIRGINIA HILLS,2021-04-23,April,495000,2,2.0,875,10302,566,No,0.0,1952,69,251,38.7758722,-77.09618490000001
6107 Holly Tree Dr,Alexandria,22310,PIKE BRANCH ADDN TO WILT,2021-06-23,June,740000,4,2.5,2376,8797,311,No,0.0,1973,48,190,38.7834656,-77.0911832
6205 Florence Ln,Alexandria,22310,KINGS LANDING,2021-04-23,April,760000,4,3.5,3699,10102,205,Yes,12.0,1981,40,251,38.7821583,-77.0877662
5006 Richenbacher Ave,Alexandria,22304,BROOKVILLE,2021-06-16,June,770000,4,2.0,2112,8178,365,No,0.0,1956,65,197,38.8203847,-77.11685279999999
3023 Bryan St,Alexandria,22302,PARK RIDGE,2021-06-10,June,875000,4,2.0,2700,8011,324,No,0.0,1955,66,203,38.81729489999999,-77.07881850000001
5100 Talbot Pl,Alexandria,22304,SEMINARY VALLEY,2021-02-10,February,720000,5,3.0,1714,9725,420,No,0.0,1956,65,323,38.8176465,-77.1193251
325 N West St,Alexandria,22314,PARKER GRAY HISTORIC DISTRICT,2021-01-28,January,875000,2,2.5,1230,1136,711,No,0.0,1902,119,336,38.8090714,-77.0537817
7938 Wellington Rd,Alexandria,22308,HOLLIN HALL VILLAGE,2021-04-09,April,745000,4,2.0,1789,8831,416,No,0.0,1950,71,265,38.7411011,-77.0602016
6100 Pine Grove Cir,Alexandria,22303,PENN DAW VILLAGE,2021-02-17,February,555000,5,3.0,2109,15492,263,No,0.0,1957,64,316,38.7859918,-77.0803473
6203 Foxcroft Rd,Alexandria,22307,BELLE HAVEN,2021-03-05,March,1362500,4,4.5,4214,18309,323,No,0.0,1962,59,300,38.7840536,-77.0687325
6805 Smithway Dr,Alexandria,22307,HAZELTINE HEIGHTS,2021-02-22,February,453000,2,1.0,800,10734,566,No,0.0,1951,70,311,38.7699106,-77.07355749999999
2841 E Lee Ave,Alexandria,22306,MEMORIAL HEIGHTS,2021-04-20,April,603500,4,3.0,2300,6237,262,No,0.0,1943,78,254,38.7666999,-77.08151640000001
1220 I St,Alexandria,22307,NEW ALEXANDRIA,2021-01-05,January,750000,3,3.0,1900,10500,395,No,0.0,1939,82,359,38.7767404,-77.05592920000001
2113 Paul Spring Rd,Alexandria,22307,HOLLIN HILLS,2021-04-08,April,1050000,3,2.0,2106,22385,499,No,0.0,1953,68,266,38.7620059,-77.067262
7105 Marlan Dr,Alexandria,22307,MARLAN FOREST,2021-04-16,April,1100000,5,3.0,3618,12196,304,No,0.0,1952,69,258,38.7629705,-77.0581104
7202 Burtonwood Dr,Alexandria,22307,MARLAN HEIGHTS,2021-01-15,January,985000,4,3.0,1686,12940,584,No,0.0,1958,63,349,38.7604732,-77.0553895
8007 Bainbridge Rd,Alexandria,22308,HOLLIN HALL VILL,2021-02-12,February,675000,3,2.0,1200,10028,563,No,0.0,1953,68,321,38.739996500000004,-77.0664975
4702 Surry Pl,Alexandria,22304,SEMINARY VALLEY,2021-07-14,July,720000,4,3.0,2698,8596,267,No,0.0,1956,65,169,38.8157075,-77.1156391
26 Cockrell St,Alexandria,22304,ALNOR HEIGHTS,2021-06-18,June,940000,4,3.5,3297,17997,285,No,0.0,1940,81,195,38.8088435,-77.0945102
6627 Tunlaw Ct,Alexandria,22312,OAK RUN PARK,2021-06-16,June,733888,4,3.0,3066,20795,239,No,0.0,1963,58,197,38.815889299999995,-77.1724438
4505 E Marcia Ct,Alexandria,22309,COLONIAL FARMS,2021-05-17,May,642000,3,2.5,1833,20040,350,No,0.0,1959,62,227,38.7150152,-77.11082929999999
5201 Cedar Rd,Alexandria,22309,KEYS AND RUSSELL,2021-07-30,July,500000,3,2.0,1939,21885,258,No,0.0,1952,69,153,38.7177182,-77.12350529999999
9101 Peartree Lndg,Alexandria,22309,UNION FARM,2021-04-30,April,925000,4,3.5,3610,13000,256,No,0.0,1987,34,244,38.711403000000004,-77.1084018
3101 Woodland Ln,Alexandria,22309,WOODLAND PARK,2021-06-16,June,760000,3,2.0,2154,33350,353,No,0.0,1941,80,197,38.722046999999996,-77.0869569
3121 King St,Alexandria,22302,MCKENZIE LEWIS PROPERTY,2021-05-07,May,720000,4,2.0,1924,6911,374,No,0.0,1950,71,237,38.8226904,-77.08070699999999
2935 Viewpoint Rd,Alexandria,22314,CLOVER,2021-04-13,April,825000,3,2.0,2045,7200,403,No,0.0,1955,66,261,38.8095787,-77.0795379
3826 Lacy Blvd,Falls Church,22041,DOWDEN TERRACE,2021-04-29,April,1000000,5,4.5,4527,20153,221,No,0.0,1988,33,245,38.839933,-77.1299777
1512 Stonewall Rd,Alexandria,22302,BRADDOCK HEIGHTS,2021-06-23,June,2062500,5,3.5,4012,23790,514,No,0.0,1918,103,190,38.8194305,-77.0677566
496 W Taylor Run Pkwy,Alexandria,22314,CLOVER,2021-07-27,July,905000,4,2.0,2168,11262,417,No,0.0,1955,66,156,38.812036799999994,-77.076188
3309 Old Dominion Blvd,Alexandria,22305,BEVERLY HILLS,2021-04-23,April,1200000,4,3.0,3707,11365,324,No,0.0,1935,86,251,38.83674439999999,-77.0709494
1810 Commonwealth Ave,Alexandria,22301,ROSECREST,2021-06-30,June,850000,4,2.0,2393,6333,355,No,0.0,1951,70,183,38.822361799999996,-77.0634395
6321 Higham Dr,Alexandria,22310,WALHAVEN,2021-06-14,June,870000,4,4.0,2934,25374,297,No,0.0,1975,46,199,38.7795504,-77.14092149999999
2103 Yale Dr,Alexandria,22307,BELLEHAVEN TERRACE,2021-06-17,June,865000,4,3.0,2306,9999,375,No,0.0,1961,60,196,38.7765939,-77.0664525
2215 Harvard Dr,Alexandria,22307,BUCKNELL MANOR,2021-05-28,May,611000,3,2.0,1220,10080,501,No,0.0,1950,71,216,38.778645700000006,-77.06969029999999
5715 Broadmoor St,Alexandria,22315,HAYFIELD FARM,2021-04-27,April,717000,4,2.5,1620,8749,443,No,0.0,1970,51,247,38.7517699,-77.1343823
3913 Spect Ct,Alexandria,22310,VIRGINIA HILLS,2021-01-05,January,470000,3,2.0,1288,19453,365,No,0.0,1955,66,359,38.7807017,-77.1006245
5937 Telegraph Rd,Alexandria,22310,TELEGRAPH RD,2021-09-03,September,2450000,5,5.0,7500,115869,327,No,0.0,2006,15,118,38.7879908,-77.08617
2402 Sanford St,Alexandria,22301,MOUNT IDA,2021-05-14,May,770000,3,1.5,1495,5520,515,No,0.0,1939,82,230,38.8272542,-77.0640691
5709 Broadmoor St,Alexandria,22315,HAYFIELD FARM,2021-05-13,May,565000,4,2.0,2761,9043,205,No,0.0,1970,51,231,38.751478399999996,-77.1339328
300 Summers Dr,Alexandria,22301,MOUNT VERNON PARK,2021-03-29,March,1175000,3,3.0,2414,5000,487,No,0.0,1926,95,276,38.8150902,-77.0673969
8015 Bainbridge Rd,Alexandria,22308,HOLLIN HALL VILLAGE,2021-07-09,July,585000,2,1.0,1183,11130,495,No,0.0,1952,69,174,38.7392265,-77.0660739
5602 Ashfield Rd,Alexandria,22315,HAYFIELD FARM,2021-04-09,April,630000,3,2.0,2374,10899,265,No,0.0,1966,55,265,38.751082000000004,-77.13146090000001
8629 Old Mount Vernon Rd,Alexandria,22309,MOUNT VERNON HILLS,2021-06-04,June,651100,4,2.0,1960,12347,332,No,0.0,1935,86,209,38.722673,-77.0948924
4303 Fielding St,Alexandria,22309,FAIRFIELD,2021-07-26,July,525000,4,2.0,1078,10507,487,No,0.0,1966,55,157,38.7422016,-77.1066935
8820 Fort Hunt Rd,Alexandria,22308,POTOMAC VALLEY,2021-05-04,May,793000,4,2.5,2313,11745,343,No,0.0,1965,56,240,38.7186776,-77.0593921
6110 The Pkwy,Alexandria,22310,VIRGINIA HILLS,2021-02-08,February,555000,4,2.0,2295,10064,242,No,0.0,1954,67,325,38.78423,-77.0954993
6406 Prospect Ter,Alexandria,22310,VERGINIA HILLS,2021-09-03,September,583000,4,2.0,1900,10003,307,No,0.0,1954,67,118,38.778671,-77.1008043
3008 Burgundy Rd,Alexandria,22303,BURGUNDY VILLAGE,2021-08-30,August,505000,4,2.0,1220,7204,414,No,0.0,1949,72,122,38.79807720000001,-77.0833325
5859 Doris Dr,Alexandria,22311,DOWDEN TERRACE,2021-08-04,August,684000,4,2.5,1796,7616,381,No,0.0,1955,66,148,38.8333029,-77.1317755
8820 Battery Rd,Alexandria,22308,POTOMAC VALLEY,2021-03-04,March,670000,5,2.0,1258,11600,533,No,0.0,1960,61,301,38.7167809,-77.0593471
3533 Lee Ct,Alexandria,22302,VIRGINIA HEIGHTS,2021-01-08,January,475000,3,2.0,1090,14774,436,No,0.0,1947,74,356,38.8470749,-77.1151447
8707 Winthrop Dr,Alexandria,22308,PLYMOUTH HAVEN,2021-05-13,May,2240000,7,7.5,8810,21780,254,No,0.0,2008,13,231,38.7210783,-77.0547823
6406 Hayfield Pl,Alexandria,22310,ROSE HILL FARM,2021-03-01,March,627000,3,2.0,1980,10904,317,No,0.0,1954,67,304,38.7786653,-77.11334659999999
1321 N Ivanhoe St,Alexandria,22304,SEMINARY HILL ESTATES,2021-05-25,May,962500,3,3.0,2370,13854,406,No,0.0,1962,59,219,38.822419200000006,-77.1077275
971 N Paxton St,Alexandria,22304,BROOKVILLE,2021-01-05,January,675000,4,2.5,2298,8066,294,No,0.0,1958,63,359,38.8202388,-77.1198645
5705 Barbmor Ct,Alexandria,22310,BUSH HILL WOODS,2021-05-14,May,1065000,5,4.5,4575,17567,233,No,0.0,1998,23,230,38.7951192,-77.12602240000001
5787 Bush Hill Dr,Alexandria,22310,GUNNELL,2021-04-06,April,970000,4,4.5,5000,10155,194,Yes,21.0,2001,20,268,38.794295700000006,-77.1222468
4655 Neely Ann Ct,Alexandria,22310,GLENWOOD ESTATES,2021-01-27,January,1140000,7,5.0,5224,20701,218,Yes,42.0,2010,11,337,38.7979052,-77.1124475
3618 Elmwood Dr,Alexandria,22303,BURGUNDY MANOR,2021-05-10,May,450000,2,1.0,793,8891,567,No,0.0,1955,66,234,38.8006284,-77.09545440000001
4421 Roundhill Rd,Alexandria,22310,ROSE HILL FARM,2021-03-30,March,580000,3,4.5,2000,12662,290,No,0.0,1955,66,275,38.7818726,-77.1103797
6119 Algona Ct,Alexandria,22310,VIRGINIA HILLS,2021-04-23,April,605000,4,2.0,1924,10064,314,No,0.0,1954,67,251,38.7842602,-77.0961287
4521 Park Rd,Alexandria,22312,PINECREST,2021-02-02,February,900000,5,4.0,3204,32038,281,No,0.0,1941,80,331,38.824596299999996,-77.15316740000002
6405 Edsall Rd,Alexandria,22312,BREN MAR PARK,2021-01-15,January,520000,4,2.0,1088,9800,478,No,0.0,1956,65,349,38.803878499999996,-77.1559085
6255 Wills St,Alexandria,22310,SHIRLEY PARK,2021-03-30,March,800000,5,3.5,3818,12877,210,No,0.0,1952,69,275,38.77637360000001,-77.15554909999999
3606 Elmwood Dr,Alexandria,22303,BURGUNDY MANOR,2021-04-30,April,465000,2,1.0,793,8400,586,No,0.0,1955,66,244,38.800226200000004,-77.0940157
3309 Dona Ave,Alexandria,22303,BURGUNDY VILLAGE,2021-02-26,February,505000,5,2.5,1435,7399,352,No,0.0,1952,69,307,38.7994214,-77.08854609999999
6329 Gentele Ct,Alexandria,22310,VIRGINIA HILLS,2021-04-09,April,560000,4,2.0,1888,10139,297,No,0.0,1956,65,265,38.7792237,-77.09531949999999
2731 Fairhaven Ave,Alexandria,22303,JEFFERSON MANOR,2021-04-16,April,610000,3,2.5,1266,3600,482,No,0.0,1947,74,258,38.7861374,-77.0798527
5823 Dewey Dr,Alexandria,22310,MARL PAT,2021-02-26,February,750000,5,2.0,2340,10501,321,No,0.0,1958,63,307,38.790673,-77.08154
1801 Edgehill Dr,Alexandria,22307,BELLE HAVEN,2021-05-26,May,2775000,5,6.5,5827,22901,476,No,0.0,1932,89,218,38.7838925,-77.06179809999999
3506 Memorial St,Alexandria,22310,FRALEYS GROVETON HEIGHTS,2021-04-08,April,570000,3,2.0,2250,15304,253,No,0.0,1954,67,266,38.7748904,-77.0910933
7715 Northdown Rd,Alexandria,22308,WELLINGTON VILLA,2021-08-06,August,2500000,6,5.5,8508,26578,294,No,0.0,2002,19,146,38.7479026,-77.0478562
804 Russell Rd,Alexandria,22301,MOUNT VERNON PARK,2021-06-02,June,950000,3,2.0,1800,3854,528,No,0.0,1933,88,211,38.814350899999994,-77.0654632
25 E Masonic View Ave,Alexandria,22301,ROSEMONT,2021-07-23,July,1735000,6,4.5,5475,5000,317,No,0.0,2011,10,160,38.8142277,-77.06006670000001
509 Braxton Pl,Alexandria,22301,GEORGE WASHINGTON PARK,2021-07-09,July,1070000,4,3.5,2676,5000,400,No,0.0,1940,81,174,38.8111321,-77.068656
5621 Tremont Dr,Alexandria,22303,BURGUNDY VILLAGE,2021-06-25,June,516000,4,2.0,1326,7200,389,No,0.0,1950,71,188,38.7980099,-77.09181269999999
6106 Stegen Dr,Alexandria,22310,MIDWOOD ESTATES,2021-03-22,March,851000,5,3.5,2430,8623,350,No,0.0,1970,51,283,38.7851641,-77.0887553
6103 Bayliss Knoll Ct,Alexandria,22310,VILLAGES AT HUNTINGTON,2021-08-13,August,960000,4,3.5,3184,13213,302,No,0.0,1994,27,139,38.7835999,-77.0823257
